valid_time,pressure_level,u,v,t,r
2025-07-23 02:00:00,1000,1.3175983,-1.0735407,293.4629,86.77994
2025-07-23 02:00:00,925,1.2147884,-0.92211616,289.10742,87.2744
2025-07-23 02:00:00,850,2.666875,-3.6797743,285.71216,62.490982
2025-07-23 02:00:00,700,7.0222416,1.6292086,280.35645,16.882645
2025-07-23 02:00:00,500,14.986611,-2.344284,263.35254,51.819565
2025-07-23 03:00:00,1000,1.2669449,-1.0997047,292.96704,88.23726
2025-07-23 03:00:00,925,1.1696634,-0.9291346,288.61035,88.61595
2025-07-23 03:00:00,850,2.173602,-3.4505959,285.20264,63.47055
2025-07-23 03:00:00,700,7.3592777,0.0111966655,280.39697,14.553418
2025-07-23 03:00:00,500,14.667254,-3.2369576,263.32886,53.961136
2025-07-23 04:00:00,1000,1.1402893,-1.1214457,292.5359,88.70947
2025-07-23 04:00:00,925,1.0615187,-0.9547775,288.1853,88.96062
2025-07-23 04:00:00,850,1.5140371,-3.0881367,284.87646,62.691483
2025-07-23 04:00:00,700,7.1632786,-1.8011074,280.53174,13.443124
2025-07-23 04:00:00,500,14.404919,-3.7627726,263.37305,53.32939
2025-07-23 05:00:00,1000,1.1760073,-1.3105259,292.21045,87.15062
2025-07-23 05:00:00,925,1.1052866,-1.1450377,287.84497,87.33954
2025-07-23 05:00:00,850,1.323492,-3.0651484,284.36743,63.407883
2025-07-23 05:00:00,700,6.708288,-3.1617002,280.4541,12.392121
2025-07-23 05:00:00,500,13.902746,-4.243944,263.31958,55.71634
2025-07-23 06:00:00,1000,1.1673698,-1.345829,291.88086,84.98076
2025-07-23 06:00:00,925,1.0899906,-1.1794376,287.51514,85.30205
2025-07-23 06:00:00,850,1.1332817,-2.8120089,284.22705,61.763535
2025-07-23 06:00:00,700,6.428591,-4.275215,280.37158,10.014403
2025-07-23 06:00:00,500,13.074417,-4.452527,263.11328,60.7977
2025-07-23 07:00:00,1000,1.0734177,-1.6796179,292.2273,75.84119
2025-07-23 07:00:00,925,1.0554113,-1.5635414,287.85596,76.52913
2025-07-23 07:00:00,850,1.0553331,-2.9609156,284.1023,62.152496
2025-07-23 07:00:00,700,6.287717,-4.4752398,280.25513,8.116556
2025-07-23 07:00:00,500,12.174631,-5.060774,263.12744,62.248993
2025-07-23 08:00:00,1000,1.0342588,-2.1812057,293.03052,66.564224
2025-07-23 08:00:00,925,0.997886,-2.13982,288.69678,66.59546
2025-07-23 08:00:00,850,1.3505831,-3.6541147,283.62207,74.085464
2025-07-23 08:00:00,700,6.379981,-4.6251793,279.93774,7.930846
2025-07-23 08:00:00,500,11.489526,-4.644457,263.39844,54.60414
2025-07-23 09:00:00,1000,0.89695656,-2.3056793,293.87354,58.20906
2025-07-23 09:00:00,925,0.8684806,-2.2933836,289.53052,58.10356
2025-07-23 09:00:00,850,1.2578163,-3.7041883,284.0276,71.26323
2025-07-23 09:00:00,700,6.2307806,-5.4351645,279.51196,8.849312
2025-07-23 09:00:00,500,11.591253,-3.9079523,263.60132,42.368195
2025-07-23 10:00:00,1000,0.76247525,-1.9378128,295.35303,48.577103
2025-07-23 10:00:00,925,0.7419727,-1.9443893,290.98804,48.38742
2025-07-23 10:00:00,850,0.8630765,-2.8898354,285.4026,59.904785
2025-07-23 10:00:00,700,4.269081,-5.3290873,278.78638,9.268048
2025-07-23 10:00:00,500,11.650857,-3.3154697,263.95215,27.127731
2025-07-23 11:00:00,1000,0.6774348,-2.1564302,296.97607,40.08876
2025-07-23 11:00:00,925,0.67240214,-2.1588583,292.5774,39.776917
2025-07-23 11:00:00,850,0.759722,-3.1518373,286.88623,50.237427
2025-07-23 11:00:00,700,3.5534916,-5.323929,278.72192,8.923898
2025-07-23 11:00:00,500,12.782788,-4.1116095,263.5918,25.644745
2025-07-23 12:00:00,1000,0.871852,-2.168396,298.344,34.85466
2025-07-23 12:00:00,925,0.85895646,-2.1459465,293.90918,34.722305
2025-07-23 12:00:00,850,0.9967374,-3.1503963,288.1753,43.782074
2025-07-23 12:00:00,700,3.0227976,-4.4765797,278.72437,8.395412
2025-07-23 12:00:00,500,13.894582,-4.722805,263.46362,21.855469
2025-07-23 13:00:00,1000,1.0514002,-2.5793247,299.37427,31.643677
2025-07-23 13:00:00,925,1.0462914,-2.5410357,294.93457,31.39032
2025-07-23 13:00:00,850,1.2957945,-3.87926,289.2002,39.529648
2025-07-23 13:00:00,700,2.7625074,-3.8629313,278.62915,8.852017
2025-07-23 13:00:00,500,14.258772,-6.081707,263.08154,22.42807
2025-07-23 14:00:00,1000,1.1340199,-2.7662716,300.052,29.770828
2025-07-23 14:00:00,925,1.1329956,-2.7141743,295.6162,29.470688
2025-07-23 14:00:00,850,1.4645061,-4.279315,289.89624,36.67691
2025-07-23 14:00:00,700,2.6580172,-3.2347727,278.68604,9.161403
2025-07-23 14:00:00,500,13.892272,-8.473297,262.77222,20.317917
2025-07-23 15:00:00,1000,1.2816334,-2.8693867,300.48315,29.143723
2025-07-23 15:00:00,925,1.2736006,-2.8165178,296.0459,29.015228
2025-07-23 15:00:00,850,1.7188654,-4.409238,290.34644,35.637924
2025-07-23 15:00:00,700,2.9084797,-2.682294,278.91235,8.870602
2025-07-23 15:00:00,500,13.494161,-11.583762,262.6819,14.31314
2025-07-23 16:00:00,1000,1.3749084,-2.9412136,300.5681,29.50563
2025-07-23 16:00:00,925,1.375884,-2.903369,296.17114,29.539734
2025-07-23 16:00:00,850,1.9393673,-4.5837097,290.4558,36.358368
2025-07-23 16:00:00,700,3.0732136,-2.1811476,278.9702,10.232344
2025-07-23 16:00:00,500,13.87723,-14.424269,263.0464,8.607704
2025-07-23 17:00:00,1000,1.2087135,-3.0783587,300.1902,31.483109
2025-07-23 17:00:00,925,1.2051172,-3.049037,295.79834,31.670547
2025-07-23 17:00:00,850,1.7057571,-5.0041265,290.11572,39.19171
2025-07-23 17:00:00,700,3.1623344,-1.9149237,279.0603,13.0804205
2025-07-23 17:00:00,500,14.756246,-16.222641,263.6316,6.1515865
2025-07-23 18:00:00,1000,0.8976523,-3.2402496,299.479,34.61635
2025-07-23 18:00:00,925,0.88841075,-3.1953268,295.07666,34.848175
